name,start time,end time,duration
,294360879027.0,294360879067.0,40.0
g.h.eI,294360881110.0,294360881407.0,297.0
,294360881574.0,294360882075.0,501.0
,294360882386.0,294360882432.0,46.0
,294360882929.0,294360882946.0,17.0
,294360905107.0,294360905145.0,38.0
,294360930824.0,294360930897.0,73.0
,294360957008.0,294360957130.0,122.0
,294360964248.0,294360964366.0,118.0
,294360980180.0,294360980220.0,40.0
_.g.Hu,294360988242.0,294360988412.0,170.0
,294360988526.0,294360989142.0,616.0
,294360989203.0,294360989340.0,137.0
,294360989447.0,294360989681.0,234.0
,294360989740.0,294360990095.0,355.0
,294360990249.0,294360990407.0,158.0
,294360990538.0,294360991301.0,763.0
,294360991419.0,294360992314.0,895.0
,294360992450.0,294360992621.0,171.0
,294360994407.0,294360995703.0,1296.0
,294360995825.0,294360997131.0,1306.0
,294360997229.0,294360997370.0,141.0
_.g.uF,294361004914.0,294361004949.0,35.0
,294361005118.0,294361005366.0,248.0
,294361005429.0,294361005589.0,160.0
,294361005702.0,294361006085.0,383.0
,294361006206.0,294361006368.0,162.0
,294361006574.0,294361007188.0,614.0
,294361007376.0,294361007660.0,284.0
,294361007775.0,294361007912.0,137.0
_.g.Hu,294361008029.0,294361008084.0,55.0
,294361008124.0,294361008481.0,357.0
,294361008570.0,294361008646.0,76.0
,294361008722.0,294361008886.0,164.0
,294361009035.0,294361009262.0,227.0
,294361009319.0,294361009437.0,118.0
,294361009564.0,294361010412.0,848.0
,294361010513.0,294361011084.0,571.0
,294361011149.0,294361011315.0,166.0
,294361011599.0,294361011620.0,21.0
,294361021945.0,294361023967.0,2022.0
,294361024149.0,294361025822.0,1673.0
,294361025911.0,294361026181.0,270.0
,294361030257.0,294361030341.0,84.0
g.h.Ix,294361031130.0,294361031737.0,607.0
g.h.Ix,294361032015.0,294361032325.0,310.0
_.g.uF,294361039229.0,294361039268.0,39.0
,294361039483.0,294361039804.0,321.0
,294361039977.0,294361040380.0,403.0
,294361040500.0,294361042163.0,1663.0
,294361042322.0,294361042562.0,240.0
,294361042660.0,294361042746.0,86.0
,294361042868.0,294361043016.0,148.0
,294361043112.0,294361043214.0,102.0
,294361043303.0,294361043427.0,124.0
,294361043510.0,294361043565.0,55.0
,294361043645.0,294361043685.0,40.0
,294361043751.0,294361044111.0,360.0
,294361044202.0,294361044244.0,42.0
,294361044340.0,294361044374.0,34.0
,294361044407.0,294361044523.0,116.0
,294361044613.0,294361044659.0,46.0
,294361044693.0,294361044732.0,39.0
,294361044821.0,294361044865.0,44.0
,294361044964.0,294361045008.0,44.0
,294361045154.0,294361045254.0,100.0
,294361045293.0,294361045321.0,28.0
,294361045395.0,294361045433.0,38.0
,294361045463.0,294361045554.0,91.0
,294361045622.0,294361045734.0,112.0
,294361045804.0,294361045929.0,125.0
,294361046037.0,294361046082.0,45.0
,294361046192.0,294361046565.0,373.0
_.g.Hu,294361046706.0,294361046899.0,193.0
,294361047021.0,294361047346.0,325.0
,294361047482.0,294361047671.0,189.0
,294361047814.0,294361048108.0,294.0
,294361048230.0,294361048443.0,213.0
,294361048528.0,294361048648.0,120.0
,294361048861.0,294361049373.0,512.0
,294361049525.0,294361049814.0,289.0
,294361049924.0,294361050576.0,652.0
,294361050620.0,294361051069.0,449.0
,294361051117.0,294361051336.0,219.0
,294361055763.0,294361056140.0,377.0
,294361056355.0,294361056734.0,379.0
,294361057270.0,294361059267.0,1997.0
,294361059345.0,294361061016.0,1671.0
,294361061126.0,294361061332.0,206.0
,294361061896.0,294361061915.0,19.0
,294361064231.0,294361064303.0,72.0
,294361072558.0,294361072848.0,290.0
,294361072945.0,294361073468.0,523.0
,294361073574.0,294361075447.0,1873.0
,294361075570.0,294361077516.0,1946.0
,294361077659.0,294361077926.0,267.0
,294361082041.0,294361082137.0,96.0
,294361090153.0,294361090478.0,325.0
,294361090604.0,294361091030.0,426.0
,294361091150.0,294361092668.0,1518.0
,294361092739.0,294361094378.0,1639.0
,294361094491.0,294361094676.0,185.0
,294361106818.0,294361107214.0,396.0
,294361107322.0,294361107587.0,265.0
,294361107713.0,294361109150.0,1437.0
,294361109283.0,294361110806.0,1523.0
,294361111030.0,294361111246.0,216.0
,294361111771.0,294361111795.0,24.0
,294361123217.0,294361123402.0,185.0
,294361123477.0,294361123672.0,195.0
,294361123734.0,294361124825.0,1091.0
,294361124904.0,294361125903.0,999.0
,294361125973.0,294361126154.0,181.0
,294361130167.0,294361130196.0,29.0
g.h.eI,294361131471.0,294361131623.0,152.0
,294361139983.0,294361140186.0,203.0
,294361140276.0,294361140458.0,182.0
,294361140537.0,294361141613.0,1076.0
,294361141669.0,294361142839.0,1170.0
,294361142905.0,294361143074.0,169.0
