duration,end time,name,start time
674.0,41446128349.0,_invoke,41446127675.0
944.0,41446129341.0,_updateTimerId.element.window.requestAnimationFrame,41446128397.0
117.0,41446129528.0,update,41446129411.0
38.0,41446222682.0,_onTimeout,41446222644.0
71.0,41446579707.0,_updateTimer,41446579636.0
19.0,41446801188.0,_onTimeout,41446801169.0
18.0,41446801350.0,_onTimeout,41446801332.0
21.0,41446826666.0,_onTimeout,41446826645.0
20.0,41446830387.0,_onTimeout,41446830367.0
21.0,41446837586.0,_onTimeout,41446837565.0
21.0,41446841729.0,_onTimeout,41446841708.0
14.0,41446848471.0,_onTimeout,41446848457.0
19.0,41446853549.0,_onTimeout,41446853530.0
21.0,41446860520.0,_onTimeout,41446860499.0
20.0,41446869374.0,_onTimeout,41446869354.0
19.0,41446876823.0,_onTimeout,41446876804.0
13.0,41446887425.0,_onTimeout,41446887412.0
21.0,41446896456.0,_onTimeout,41446896435.0
14.0,41446904683.0,_onTimeout,41446904669.0
7.0,41446904787.0,_onTimeout,41446904780.0
38.0,41446960384.0,_onTimeout,41446960346.0
24.0,41446965886.0,_onTimeout,41446965862.0
39.0,41446970817.0,_onTimeout,41446970778.0
24.0,41446980895.0,_onWindowResize,41446980871.0
90.0,41446981051.0,_reset,41446980961.0
809.0,41446981939.0,doResize,41446981130.0
1332.0,41446983328.0,_invoke,41446981996.0
1765.0,41446986399.0,_updateTimerId.element.window.requestAnimationFrame,41446984634.0
138.0,41446986626.0,update,41446986488.0
23.0,41447013501.0,_onWindowResize,41447013478.0
87.0,41447013654.0,_reset,41447013567.0
642.0,41447014348.0,doResize,41447013706.0
662.0,41447015060.0,_invoke,41447014398.0
1526.0,41447016635.0,_updateTimerId.element.window.requestAnimationFrame,41447015109.0
147.0,41447016876.0,update,41447016729.0
31.0,41447055082.0,_onWindowResize,41447055051.0
110.0,41447055287.0,_reset,41447055177.0
1968.0,41447057314.0,doResize,41447055346.0
1987.0,41447059411.0,_invoke,41447057424.0
1503.0,41447061059.0,_updateTimerId.element.window.requestAnimationFrame,41447059556.0
136.0,41447061294.0,update,41447061158.0
48.0,41447083481.0,_onTimeout,41447083433.0
24.0,41447106418.0,_onWindowResize,41447106394.0
86.0,41447106568.0,_reset,41447106482.0
825.0,41447107443.0,doResize,41447106618.0
1139.0,41447108666.0,_invoke,41447107527.0
1166.0,41447109890.0,_updateTimerId.element.window.requestAnimationFrame,41447108724.0
