name,start time,end time,duration
,293916958842.0,293916960200.0,1358.0
,293916960304.0,293916960888.0,584.0
,293916961555.0,293916962012.0,457.0
ha,293916962381.0,293916962587.0,206.0
ha,293916962630.0,293916962773.0,143.0
ha,293916962811.0,293916962930.0,119.0
ha,293916964112.0,293916964424.0,312.0
ha,293916964632.0,293916964891.0,259.0
ha,293916964985.0,293916965181.0,196.0
,293916976128.0,293916976690.0,562.0
ha,293916977046.0,293916977235.0,189.0
ha,293916978264.0,293916978459.0,195.0
ha,293917008976.0,293917009215.0,239.0
,293917009310.0,293917009997.0,687.0
,293917010095.0,293917010402.0,307.0
ha,293917010863.0,293917011030.0,167.0
ha,293917011060.0,293917012897.0,1837.0
ha,293917015711.0,293917016012.0,301.0
ha,293917016113.0,293917016364.0,251.0
ha,293917016493.0,293917016553.0,60.0
ha,293917016742.0,293917016828.0,86.0
ha,293917016921.0,293917016977.0,56.0
,293917024828.0,293917025363.0,535.0
ha,293917026666.0,293917026861.0,195.0
ha,293917028244.0,293917028474.0,230.0
ha,293917029624.0,293917029670.0,46.0
,293917042665.0,293917043447.0,782.0
ha,293917043817.0,293917043995.0,178.0
ha,293917045140.0,293917045445.0,305.0
,293917058640.0,293917059357.0,717.0
ha,293917059864.0,293917060081.0,217.0
ha,293917061253.0,293917061436.0,183.0
ha,293917066101.0,293917066213.0,112.0
ha,293917066344.0,293917066441.0,97.0
,293917075984.0,293917076506.0,522.0
ha,293917076863.0,293917077056.0,193.0
ha,293917078235.0,293917078569.0,334.0
ha,293917078730.0,293917078897.0,167.0
,293917092598.0,293917093094.0,496.0
ha,293917093470.0,293917093690.0,220.0
ha,293917094757.0,293917095104.0,347.0
ha,293917095388.0,293917095479.0,91.0
ha,293917112206.0,293917112322.0,116.0
,293917113318.0,293917113815.0,497.0
ha,293917114147.0,293917114309.0,162.0
ha,293917115468.0,293917115685.0,217.0
ha,293917128906.0,293917129073.0,167.0
,293917130417.0,293917131054.0,637.0
ha,293917131540.0,293917131730.0,190.0
ha,293917132891.0,293917133148.0,257.0
ha,293917145758.0,293917146026.0,268.0
,293917147172.0,293917147757.0,585.0
ha,293917148151.0,293917148332.0,181.0
ha,293917149503.0,293917149795.0,292.0
,293917163891.0,293917164546.0,655.0
ha,293917164958.0,293917165158.0,200.0
ha,293917165745.0,293917165790.0,45.0
ha,293917166167.0,293917166538.0,371.0
,293917180764.0,293917181531.0,767.0
ha,293917182022.0,293917182232.0,210.0
ha,293917183169.0,293917183276.0,107.0
ha,293917183352.0,293917183593.0,241.0
,293917197520.0,293917198223.0,703.0
ha,293917198661.0,293917198962.0,301.0
ha,293917199832.0,293917199946.0,114.0
ha,293917200009.0,293917200248.0,239.0
,293917214362.0,293917215476.0,1114.0
ha,293917215949.0,293917216220.0,271.0
ha,293917216502.0,293917216553.0,51.0
ha,293917217214.0,293917217399.0,185.0
,293917231672.0,293917232204.0,532.0
ha,293917232564.0,293917232740.0,176.0
ha,293917233699.0,293917233781.0,82.0
ha,293917233892.0,293917234218.0,326.0
ha,293917248248.0,293917248363.0,115.0
,293917248529.0,293917249444.0,915.0
,293917249545.0,293917249860.0,315.0
ha,293917250321.0,293917250495.0,174.0
ha,293917250526.0,293917250662.0,136.0
ha,293917251827.0,293917251918.0,91.0
ha,293917251981.0,293917252213.0,232.0
ha,293917252302.0,293917252521.0,219.0
,293917265940.0,293917266568.0,628.0
ha,293917266938.0,293917267128.0,190.0
ha,293917267363.0,293917267414.0,51.0
ha,293917268116.0,293917268354.0,238.0
,293917282830.0,293917283918.0,1088.0
