duration,end time,name,start time
221.0,41483860273.0,ia,41483860052.0
710.0,41483863825.0,,41483863115.0
367.0,41483864307.0,,41483863940.0
249.0,41483864801.0,ia,41483864552.0
280.0,41483865651.0,ia,41483865371.0
189.0,41483865972.0,ia,41483865783.0
828.0,41483872115.0,ia,41483871287.0
98.0,41483872451.0,ia,41483872353.0
66.0,41483872670.0,ia,41483872604.0
133.0,41483879761.0,ia,41483879628.0
905.0,41483880757.0,,41483879852.0
1189.0,41483882096.0,,41483880907.0
319.0,41483882521.0,,41483882202.0
401.0,41483883057.0,,41483882656.0
229.0,41483883349.0,,41483883120.0
276.0,41483883938.0,ia,41483883662.0
135.0,41483884154.0,ia,41483884019.0
119.0,41483884319.0,ia,41483884200.0
120.0,41483885104.0,,41483884984.0
103.0,41483885276.0,aa,41483885173.0
24.0,41483885415.0,u,41483885391.0
187.0,41483885716.0,ia,41483885529.0
155.0,41483886039.0,ia,41483885884.0
122.0,41483886255.0,ia,41483886133.0
593.0,41483896456.0,,41483895863.0
363.0,41483896957.0,,41483896594.0
240.0,41483897438.0,ia,41483897198.0
272.0,41483898692.0,ia,41483898420.0
134.0,41483913469.0,ia,41483913335.0
822.0,41483914413.0,,41483913591.0
666.0,41483915203.0,,41483914537.0
415.0,41483915725.0,,41483915310.0
309.0,41483916156.0,,41483915847.0
280.0,41483916493.0,,41483916213.0
304.0,41483917109.0,ia,41483916805.0
161.0,41483917349.0,ia,41483917188.0
133.0,41483917540.0,ia,41483917407.0
152.0,41483918235.0,,41483918083.0
91.0,41483918396.0,aa,41483918305.0
20.0,41483918455.0,u,41483918435.0
31.0,41483918607.0,ia,41483918576.0
205.0,41483918958.0,ia,41483918753.0
162.0,41483919240.0,ia,41483919078.0
147.0,41483919494.0,ia,41483919347.0
490.0,41483930311.0,,41483929821.0
241.0,41483930655.0,,41483930414.0
178.0,41483931030.0,ia,41483930852.0
92.0,41483931666.0,ia,41483931574.0
294.0,41483932331.0,ia,41483932037.0
153.0,41483936101.0,ia,41483935948.0
82.0,41483936377.0,ia,41483936295.0
88.0,41483936649.0,ia,41483936561.0
74.0,41483946361.0,ia,41483946287.0
569.0,41483947042.0,,41483946473.0
813.0,41483947938.0,,41483947125.0
306.0,41483948310.0,,41483948004.0
547.0,41483949014.0,,41483948467.0
384.0,41483949543.0,,41483949159.0
193.0,41483949981.0,ia,41483949788.0
177.0,41483950225.0,ia,41483950048.0
167.0,41483950511.0,ia,41483950344.0
123.0,41483951083.0,,41483950960.0
51.0,41483951233.0,aa,41483951182.0
23.0,41483951320.0,u,41483951297.0
